step,wall_seconds,lr,train_loss,val_loss
0,5.287,1.000000e-05,4.0759,4.0776
250,20.401,9.979206e-04,1.8306,1.9632
500,35.578,9.852827e-04,1.4004,1.6142
750,50.819,9.614857e-04,1.2461,1.5353
1000,66.090,9.271396e-04,1.1194,1.5400
1250,81.381,8.831251e-04,0.9798,1.6206
1500,96.687,8.305704e-04,0.8056,1.7946
1750,112.019,7.708229e-04,0.6267,2.0402
2000,127.369,7.054143e-04,0.4515,2.3362
2250,142.721,6.360214e-04,0.3379,2.6234
2500,158.080,5.644232e-04,0.2504,2.9176
2750,173.434,4.924553e-04,0.2012,3.1378
3000,188.788,4.219626e-04,0.1655,3.3486
3250,204.140,3.547523e-04,0.1418,3.5340
3500,219.495,2.925475e-04,0.1251,3.6846
3750,234.851,2.369429e-04,0.1126,3.7848
4000,250.209,1.893639e-04,0.1030,3.9345
4250,265.567,1.510303e-04,0.0962,3.9818
4500,280.928,1.229249e-04,0.0919,4.0431
4750,296.293,1.057682e-04,0.0884,4.0862
4999,311.621,1.000001e-04,0.0858,4.1163
