step,wall_seconds,lr,train_loss,val_loss
0,0.942,1.000000e-05,4.5211,4.5230
250,5.381,9.979206e-04,3.3543,3.4104
500,9.823,9.852827e-04,3.1019,3.1512
750,14.256,9.614857e-04,2.9863,2.9939
1000,18.695,9.271396e-04,2.7626,2.7919
1250,23.144,8.831251e-04,2.7314,2.7797
1500,27.596,8.305704e-04,2.7186,2.8259
1750,32.033,7.708229e-04,2.6231,2.7115
2000,36.484,7.054143e-04,2.6242,2.7177
2250,40.929,6.360214e-04,2.5075,2.6001
2500,45.378,5.644232e-04,2.5224,2.5919
2750,49.835,4.924553e-04,2.5447,2.6498
3000,54.281,4.219626e-04,2.4093,2.4878
3250,58.726,3.547523e-04,2.4337,2.4664
3500,63.174,2.925475e-04,2.3865,2.4912
3750,67.626,2.369429e-04,2.3329,2.4395
4000,72.082,1.893639e-04,2.3243,2.4389
4250,76.534,1.510303e-04,2.2997,2.4153
4500,80.981,1.229249e-04,2.2797,2.4166
4750,85.433,1.057682e-04,2.2647,2.4016
4999,89.867,1.000001e-04,2.2629,2.3919
